,Unnamed: 0,brand,name,attribute,product_url,search_name,price,capacity,keyword,keyword_scent,new_name,search_name_1,1st_similar_perfume,2nd_similar_perfume,3rd_similar_perfume,4th_similar_perfume,5th_similar_perfume
214,,키에린뉴욕,로즈잉크오드퍼퓸스프레이,"시더우드와 샤프란 사이, 흩날리는 장미 꽃잎의 생경함",/product/키에린-뉴욕-로즈-잉크-오-드-퍼퓸-스프레이/2501/category/568/display/1/,키에린뉴욕 로즈잉크오드퍼퓸스프레이,98000,10,"시더우드,샤프란,로즈,꽃잎","시더우드,샤프란,로즈,꽃잎",로즈잉크스프레이,키에린뉴욕 로즈잉크스프레이,프라고나르 로즈드메이,딥디크 오로즈,이솝 로즈,,
215,,키에린뉴욕,니트로느와오드퍼퓸스프레이,"시프레와 구르몽이 초대하는, 향긋함이 감도는 뉴욕 도심의 풍경",/product/키에린-뉴욕-니트로-느와-오-드-퍼퓸-스프레이/2500/category/568/display/1/,키에린뉴욕 니트로느와오드퍼퓸스프레이,180000,50,"시프레,구르몽,뉴욕,도심,풍경","시프레,구르몽,도심,풍경",니트로느와스프레이,키에린뉴욕 니트로느와스프레이,키에린뉴욕 am플러트스프레이,,끌로에 노마드,,바이레도 선데이코롱
216,,키에린뉴욕,샹탈스카이오드퍼퓸스프레이,"샌달우드와 베티버가 선사하는, 자유로운 뉴요커의 하루 한 조각",/product/키에린-뉴욕-샹탈-스카이-오-드-퍼퓸-스프레이/2499/category/568/display/1/,키에린뉴욕 샹탈스카이오드퍼퓸스프레이,98000,10,"우드,베티버,뉴욕","우드,베티버",샹탈스카이스프레이,키에린뉴욕 샹탈스카이스프레이,아이젠버그 디아볼리끄우먼,,바이레도 선데이코롱,바이레도 집시워터,
217,,불가리,오파퓨메오떼블랑오드코롱,"고요한 새벽안개 길의 끝에서 이슬과 함께 느껴질 법한 화이트 티의 정수, 깨끗함의 정점",/product/불가리-오-파퓨메-오떼블랑-오드-코롱/2472/category/568/display/1/,불가리 오파퓨메오떼블랑오드코롱,139000,75,"고요한,새벽,안개,이슬,화이트,정수,정점","새벽,안개,이슬,화이트",오파퓨메오떼블랑오드코롱,불가리 오파퓨메오떼블랑오드코롱,누NOU 플로럴미스트,,,,
218,,에르메스,운자르뎅메디테라네오드뚜왈렛,"분수대 앞 공원 벤치에 걸터앉아 느껴보는, 햇살처럼 번지는 오렌지와 무화과 나무에서 퍼지는 달콤한 향기",/product/에르메스-운-자르뎅-메디테라네-오-드-뚜왈렛/2471/category/568/display/1/,에르메스 운자르뎅메디테라네오드뚜왈렛,175000,50,"분수,공원,벤치,햇살,오렌지,무화과,나무","햇살,오렌지,무화과,나무",운자르뎅메디테라네,에르메스 운자르뎅메디테라네,에르메스 오도랑쥬베르트오드코롱,,,,마크제이콥스 맨
219,,구찌알케미스트가든,문라이트세레나데센티드워터,"시원한 라벤더 바람과 함께 내 귓등을 타고 흐르는 청량함, 세이지와 라벤더의 여름날 향기",/product/구찌-알케미스트-가든-문라이트-세레나데-센티드-워터-150ml/2463/category/568/display/1/,구찌알케미스트가든 문라이트세레나데센티드워터,314000,150,"라벤더,바람,귓등,세이지,라벤더,여름날","라벤더,바람,세이지,여름날",문라이트세레나데센티드워터,구찌알케미스트가든 문라이트세레나데센티드워터,메모 오리엔탈레더,메모 랄리벨라,톰포드 코스타아주라,입생로랑 리브르,크리드 플뢰르드가드니아
220,,구찌알케미스트가든,어윈터멜로디사이프러스센티드워터,"서늘한 겨울 공기가 하얀 입김으로 되돌아가는 풍경, 그곳을 에워싸는 눈 덮인 초겨울의 숲 향기",/product/구찌-알케미스트-가든-어-윈터-멜로디-사이프러스-센티드-워터-150ml/2462/category/568/display/1/,구찌알케미스트가든 어윈터멜로디사이프러스센티드워터,314000,150,"겨울,공기,입김,풍경,초겨울,눈","겨울,풍경,초겨울",어윈터멜로디사이프러스센티드워터,구찌알케미스트가든 어윈터멜로디사이프러스센티드워터,불리 오트리쁠포레드코미,,,더디퍼런트컴퍼니 애프터미드나잇,
221,,에르메스,오도랑쥬베르트오드코롱,"나른함 가득한 늦은 오후, 커튼 사이로 들어오는 햇살을 타고 흐르는 오렌지와 레몬의 상큼함",/product/에르메스-오-도랑쥬-베르트-오-드-코롱/2459/category/568/display/1/,에르메스 오도랑쥬베르트오드코롱,162000,100,"오후,커튼,햇살,오렌지,레몬,상큼","햇살,오렌지,레몬,상큼",오도랑쥬베르트오드코롱,에르메스 오도랑쥬베르트오드코롱,프라다 캔디슈가팝,분더샵 에버얼웨이즈,,아쿠아디파르마 바닐라,
222,,몽클레르,뿌르옴므오드퍼퓸,"사이프러스의 시원한 상록수잎과 시더우드가 만나 퍼지는, 겨울 한기를 품은 자연의 향기",/product/몽클레르-뿌르-옴므-오-드-퍼퓸/2455/category/568/display/1/,몽클레르 뿌르옴므오드퍼퓸,120000,60,"사이프러스,상록수,시더우드,겨울,한기,자연","사이프러스,상록수,시더우드,겨울,한기,자연",뿌르옴므,몽클레르 뿌르옴므,불리 오트리쁠포레드코미,,,,
223,,몽클레르,뿌르팜므오드퍼퓸,"포근함이 느껴지는 함박눈 위로, 달콤한 바날리색 연유 라떼가 가볍게 녹아들며 남기는 자취",/product/몽클레르-뿌르-팜므-오-드-퍼퓸/2454/category/568/display/1/,몽클레르 뿌르팜므오드퍼퓸,120000,60,"함박눈,연유,라떼","함박눈,연유,라떼",뿌르팜므,몽클레르 뿌르팜므,입생로랑 르옴므,메종마르지엘라 마차메디테이션,,,
228,,에트로,라자스탄오드퍼퓸,"자유를 찾아 유랑하는 집시,보헤미안 스타일의 묵직한 앰버와 미모사 그리고 머스크의 폭닥한 향기",/product/에트로-라자스탄-오-드-퍼퓸-100ml/2430/category/568/display/1/,에트로 라자스탄오드퍼퓸,169000,100,"자유,유랑,집시,보헤미안,앰버,미모사,머스크,폭닥","앰버,미모사,머스크,폭닥",라자스탄,에트로 라자스탄,딥디크 로파피에,,,프라다 레스인퓨전디미모사,프레데릭말 뮤스크라바줴
231,,SWG컬렉션,팜스웨이드,처음부터 끝까지 포근한 스웨이드 질감을 유지하는 샌달우드와 레몬. 데일리로 쓰기 좋은 비누 내음,/product/swg컬렉션-팜스웨이드-50ml/2405/category/568/display/1/,SWG컬렉션 팜스웨이드,98000,50,"스웨이드,유지,우드,레몬,데일리,비누","스웨이드,우드,레몬,비누",팜스웨이드,SWG컬렉션 팜스웨이드,메종마르지엘라 레이지선데이모닝,로에베 맨,아쿠아디파르마 미르토디파나레아,프라고나르 상탈,에트로 우다이푸르
232,,SWG컬렉션,베티버느와,"뉴욕 센트럴의 자유와 방황을 닮은 페퍼와 토바코, 미니멀과 모던 사이를 아우르는 세련된 중성미",/product/swg컬렉션-베티버느와-50ml/2401/category/568/display/1/,SWG컬렉션 베티버느와,98000,50,"뉴욕,센트럴,자유,방황,페퍼,토바코,모던,중성","페퍼,토바코,모던",베티버느와,SWG컬렉션 베티버느와,에트로 비콜로피오리,르라보 로즈,,,불가리 뿌르옴므익스트림
